nullremote_url,video_duration,audio_only,reference_id,remote_stream_name,current_filename,type,controller_type,account_id,size,updated_at,uploaded_at,cdn_origin_id,progressive_download,name,id,complete,video_codec,video_container
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994257/VOD_Source/994262/2019-06-14_11-33-52-5701/output_700kbps_360p.mp4,374000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:05:23.282Z,2019-11-07T01:05:23.282Z,,true,,6101266787001,true,H264,MP4
342840,,,FULL_LENGTH,DEFAULT,2019-11-07T01:04:16.481Z,6101267497001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_portadelaide_vod/2019/06/994235/VOD_Source/2019-06-14_08-52-58-1860/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:04:16.481Z,,true,MP4,,true
342840,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:04:15.835Z,6101267605001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994235/index.m3u8,,false,,6057984922001,0,2019-11-07T01:04:15.835Z,,false,,,true
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/994152/index.m3u8,405000,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:04:08.757Z,2019-11-07T01:04:08.757Z,,false,,6101265949001,true,,
https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_aflfilms_vod/2019/06/994149/VOD_Source/994152/2019-06-13_11-29-52-8894/output_700kbps_360p.mp4,405000,false,,,,FULL_LENGTH,DEFAULT,6057984922001,0,2019-11-07T01:04:09.542Z,2019-11-07T01:04:09.541Z,,true,,6101267691001,true,H264,MP4
890624,,,FULL_LENGTH,DEFAULT,2019-11-07T01:03:32.225Z,6101267177001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_melbourne_vod/2019/06/993930/VOD_Source/2019-06-12_10-29-56-2018/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:03:32.225Z,,true,MP4,,true
890624,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:03:31.347Z,6101267591001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993930/index.m3u8,,false,,6057984922001,0,2019-11-07T01:03:31.346Z,,false,,,true
171800,,,FULL_LENGTH,DEFAULT,2019-11-07T01:04:18.526Z,6101266269001,https://bpmultihlsvods257.ngcdn.telstra.com/vod/ingest_afl_collingwood_vod/2019/06/993884/VOD_Source/2019-06-11_05-00-04-9731/output_700kbps_360p.mp4,H264,false,,6057984922001,0,2019-11-07T01:04:18.526Z,,true,MP4,,true
171800,,,HLS_MANIFEST,DEFAULT,2019-11-07T01:04:17.914Z,6101266345001,https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993884/index.m3u8,,false,,6057984922001,0,2019-11-07T01:04:17.914Z,,false,,,true
https://bpmultihlsvods3258.ngcdn.telstra.com/hls_afl_h264_ts/993834/index.m3u8,139400,false,,,,HLS_MANIFEST,DEFAULT,6057984922001,0,2019-11-07T01:05:04.014Z,2019-11-07T01:05:04.014Z,,false,,6101266175001,true,,
